Element.Name,Category.Name,ElementType.Name,ElementType.FamilyName
576035,Walls,Basic Wall,MW 17.5,t,BoundingBox(MinPoint = Point(X = 6058.568, Y = -6932.219, Z = 3800.000), MaxPoint = Point(X = 7671.068, Y = -6757.219, Z = 7000.000))
576036,Walls,Basic Wall,MW 17.5,e,BoundingBox(MinPoint = Point(X = 7658.568, Y = -6932.219, Z = 3800.000), MaxPoint = Point(X = 9371.068, Y = -6757.219, Z = 7000.000))
576037,Walls,Basic Wall,MW 17.5,r,BoundingBox(MinPoint = Point(X = 6058.568, Y = -6932.219, Z = 94.172), MaxPoint = Point(X = 7583.568, Y = -6757.219, Z = 3500.000))
576038,Walls,Basic Wall,MW 17.5,i,BoundingBox(MinPoint = Point(X = 7671.068, Y = -6932.219, Z = 94.172), MaxPoint = Point(X = 9371.068, Y = -6757.219, Z = 3500.000))
576039,Walls,Basic Wall,MW 17.5,a,BoundingBox(MinPoint = Point(X = 6058.568, Y = -6932.219, Z = 7300.000), MaxPoint = Point(X = 7583.568, Y = -6757.219, Z = 10600.000))
576040,Walls,Basic Wall,MW 17.5,l,BoundingBox(MinPoint = Point(X = 7671.068, Y = -6932.219, Z = 7300.000), MaxPoint = Point(X = 9371.068, Y = -6757.219, Z = 10600.000))
576044,Walls,Basic Wall,Lamelle 11.5,],BoundingBox(MinPoint = Point(X = -4632.844, Y = -4646.158, Z = 7300.000), MaxPoint = Point(X = -4517.844, Y = 32542.781, Z = 10500.000))
576054,Walls,Basic Wall,Lamelle 11.5,,,BoundingBox(MinPoint = Point(X = -803.502, Y = 32455.281, Z = 7300.000), MaxPoint = Point(X = 21105.589, Y = 32570.281, Z = 10600.000))
576666,Walls,Curtain Wall,Standard,[,BoundingBox(MinPoint = Point(X = 50282.156, Y = -5644.719, Z = 244.172), MaxPoint = Point(X = 52932.097, Y = -4644.719, Z = 3500.000))
576691,Walls,Curtain Wall,Standard,M,BoundingBox(MinPoint = Point(X = -4417.903, Y = -5644.719, Z = 244.172), MaxPoint = Point(X = -1517.903, Y = -4644.719, Z = 3500.000))
576716,Walls,Curtain Wall,Standard,a,BoundingBox(MinPoint = Point(X = 21105.589, Y = 31855.281, Z = 244.172), MaxPoint = Point(X = 24005.589, Y = 32855.281, Z = 3500.000))
576741,Walls,Curtain Wall,Standard,t,BoundingBox(MinPoint = Point(X = 50282.156, Y = -5644.719, Z = 3950.000), MaxPoint = Point(X = 52932.097, Y = -4644.719, Z = 7000.000))
576765,Walls,Curtain Wall,Standard,e,BoundingBox(MinPoint = Point(X = 50282.156, Y = -5644.719, Z = 7450.000), MaxPoint = Point(X = 52932.097, Y = -4644.719, Z = 10600.000))
576789,Walls,Curtain Wall,Standard,r,BoundingBox(MinPoint = Point(X = -4417.903, Y = -5644.719, Z = 3950.000), MaxPoint = Point(X = -1517.903, Y = -4644.719, Z = 7000.000))
576813,Walls,Curtain Wall,Standard,i,BoundingBox(MinPoint = Point(X = -4417.903, Y = -5644.719, Z = 7450.000), MaxPoint = Point(X = -1517.903, Y = -4644.719, Z = 10600.000))
576837,Walls,Curtain Wall,Standard,a,BoundingBox(MinPoint = Point(X = 21105.589, Y = 32155.281, Z = 3950.000), MaxPoint = Point(X = 24005.589, Y = 33155.281, Z = 7000.000))
576861,Walls,Curtain Wall,Standard,l,BoundingBox(MinPoint = Point(X = 21105.589, Y = 32155.281, Z = 7450.000), MaxPoint = Point(X = 24005.589, Y = 33155.281, Z = 10600.000))
577187,Walls,Curtain Wall,Standard,],BoundingBox(MinPoint = Point(X = 10506.639, Y = 3853.842, Z = 94.172), MaxPoint = Point(X = 11506.639, Y = 9453.842, Z = 7000.000))
577311,Walls,Curtain Wall,Standard,,,BoundingBox(MinPoint = Point(X = 7271.068, Y = 3238.842, Z = 94.172), MaxPoint = Point(X = 10891.639, Y = 4238.842, Z = 7000.000))
577952,Walls,Basic Wall,WC Trennwand 5.0,[,BoundingBox(MinPoint = Point(X = 9108.998, Y = 35494.031, Z = 94.172), MaxPoint = Point(X = 10497.097, Y = 35544.031, Z = 3500.000))
578639,Walls,Basic Wall,WC Trennwand 5.0,M,BoundingBox(MinPoint = Point(X = 7166.498, Y = 34205.281, Z = 3800.000), MaxPoint = Point(X = 7216.498, Y = 36055.281, Z = 6900.000))
578640,Walls,Basic Wall,WC Trennwand 5.0,a,BoundingBox(MinPoint = Point(X = 4001.498, Y = 34205.281, Z = 3800.000), MaxPoint = Point(X = 4051.498, Y = 36055.281, Z = 6900.000))
578648,Walls,Basic Wall,MW 11.5,t,BoundingBox(MinPoint = Point(X = 4666.498, Y = 34147.781, Z = 3800.000), MaxPoint = Point(X = 6305.647, Y = 34262.781, Z = 7000.000))
578649,Walls,Basic Wall,MW 11.5,e,BoundingBox(MinPoint = Point(X = 6305.647, Y = 34147.781, Z = 3800.000), MaxPoint = Point(X = 9108.998, Y = 34262.781, Z = 7000.000))
580916,Walls,Basic Wall,MW 11.5,r,BoundingBox(MinPoint = Point(X = 19481.498, Y = 36662.781, Z = 7300.000), MaxPoint = Point(X = 19596.498, Y = 40720.281, Z = 10600.000))
580917,Walls,Basic Wall,MW 11.5,i,BoundingBox(MinPoint = Point(X = 19538.998, Y = 36662.781, Z = 7300.000), MaxPoint = Point(X = 21105.589, Y = 36777.781, Z = 10600.000))
580926,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 19538.998, Y = 38997.781, Z = 7300.000), MaxPoint = Point(X = 21105.589, Y = 39112.781, Z = 10600.000))
580928,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = 19581.498, Y = 38662.781, Z = 3800.000), MaxPoint = Point(X = 19696.498, Y = 40720.281, Z = 7000.000))
580929,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = 19638.998, Y = 38662.781, Z = 3800.000), MaxPoint = Point(X = 21105.589, Y = 38777.781, Z = 7000.000))
625406,Walls,Basic Wall,MW 11.5,,,BoundingBox(MinPoint = Point(X = -12767.903, Y = 2800.281, Z = 3800.000), MaxPoint = Point(X = -4575.344, Y = 2915.281, Z = 11800.000))
