Element.Name,Category.Name,ElementType.Name,ElementType.FamilyName
573590,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = -12617.903, Y = 6797.781, Z = 94.172), MaxPoint = Point(X = -4575.403, Y = 6912.781, Z = 3500.000))
573591,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = 6913.568, Y = -12748.765, Z = 94.172), MaxPoint = Point(X = 7028.568, Y = -6844.719, Z = 3500.000))
573592,Walls,Basic Wall,STB 20.0,,,BoundingBox(MinPoint = Point(X = 3271.068, Y = 27835.698, Z = 94.172), MaxPoint = Point(X = 4771.068, Y = 28035.698, Z = 10600.000))
573593,Walls,Basic Wall,STB 20.0,[,BoundingBox(MinPoint = Point(X = 3271.068, Y = 20010.022, Z = 94.172), MaxPoint = Point(X = 4771.068, Y = 20210.022, Z = 10600.000))
573594,Walls,Basic Wall,MW 17.5,M,BoundingBox(MinPoint = Point(X = 45383.568, Y = -12553.766, Z = 94.172), MaxPoint = Point(X = 45558.568, Y = -4559.719, Z = 3500.000))
573595,Walls,Basic Wall,Lamelle 11.5,a,BoundingBox(MinPoint = Point(X = 9371.068, Y = -4617.219, Z = 94.172), MaxPoint = Point(X = 50282.156, Y = -4502.219, Z = 3500.000))
573596,Walls,Curtain Wall,Standard,t,BoundingBox(MinPoint = Point(X = -13267.903, Y = -12718.766, Z = 94.172), MaxPoint = Point(X = -12267.903, Y = 40885.281, Z = 10600.000))
573598,Walls,Curtain Wall,Standard,e,BoundingBox(MinPoint = Point(X = -7417.903, Y = 16705.281, Z = 244.172), MaxPoint = Point(X = -6417.903, Y = 32005.281, Z = 3500.000))
573600,Walls,Curtain Wall,Standard,r,BoundingBox(MinPoint = Point(X = -4517.903, Y = 31490.281, Z = 244.172), MaxPoint = Point(X = 5108.998, Y = 32490.281, Z = 3500.000))
573602,Walls,Basic Wall,MW 17.5,i,BoundingBox(MinPoint = Point(X = 5108.998, Y = 31855.281, Z = 94.172), MaxPoint = Point(X = 21105.589, Y = 32030.281, Z = 3500.000))
573603,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 9051.498, Y = 31942.781, Z = 94.172), MaxPoint = Point(X = 9166.498, Y = 40720.281, Z = 3500.000))
573604,Walls,Basic Wall,MW 11.5,l,BoundingBox(MinPoint = Point(X = 5108.998, Y = 34532.781, Z = 94.172), MaxPoint = Point(X = 11668.843, Y = 34647.781, Z = 3500.000))
573605,Walls,Basic Wall,MW 11.5,],BoundingBox(MinPoint = Point(X = 11611.343, Y = 31942.781, Z = 94.172), MaxPoint = Point(X = 11726.343, Y = 38305.281, Z = 3500.000))
573606,Walls,Basic Wall,MW 11.5,,,BoundingBox(MinPoint = Point(X = 15051.498, Y = 31942.781, Z = 94.172), MaxPoint = Point(X = 15166.498, Y = 40720.281, Z = 3500.000))
573607,Walls,Basic Wall,MW 11.5,[,BoundingBox(MinPoint = Point(X = 9108.998, Y = 38247.781, Z = 94.172), MaxPoint = Point(X = 21105.589, Y = 38362.781, Z = 3500.000))
573608,Walls,Basic Wall,MW 11.5,M,BoundingBox(MinPoint = Point(X = 17946.343, Y = 31942.781, Z = 94.172), MaxPoint = Point(X = 18061.343, Y = 38305.281, Z = 3500.000))
573609,Walls,Basic Wall,MW 11.5,a,BoundingBox(MinPoint = Point(X = 18003.843, Y = 34532.781, Z = 94.172), MaxPoint = Point(X = 21105.589, Y = 34647.781, Z = 3500.000))
573610,Walls,Curtain Wall,Standard,t,BoundingBox(MinPoint = Point(X = 4121.068, Y = -2544.719, Z = 94.172), MaxPoint = Point(X = 53097.097, Y = -1544.719, Z = 10600.000))
573612,Walls,Curtain Wall,Standard,e,BoundingBox(MinPoint = Point(X = 7271.068, Y = 9068.842, Z = 94.172), MaxPoint = Point(X = 10891.639, Y = 10068.842, Z = 7000.000))
573634,Walls,Curtain Wall,Standard,r,BoundingBox(MinPoint = Point(X = -5182.903, Y = 16705.281, Z = 244.172), MaxPoint = Point(X = -4182.903, Y = 32005.281, Z = 3500.000))
573660,Walls,Curtain Wall,Standard,i,BoundingBox(MinPoint = Point(X = 21105.589, Y = 40055.281, Z = 3800.000), MaxPoint = Point(X = 24005.589, Y = 41055.281, Z = 10600.000))
